question,answer,Structure_your_answers_in_logical_paragraphs,One_main_idea_per_paragraph,Include_an_introduction_and_conclusion,Support_main_points_with_an_explanation_and_then_an_example,Use_cohesive_linking_words_accurately_and_appropriately,Vary_your_linking_phrases_using_synonyms,score
some field executive in large companies should receive high salaries while others think they are paid too much compared to ordinary workers discuss both views and give your own opinion,"It is often considered that, of late, multinational companies play an indispensable role in employees life. It has been providing a significant concern in all over the world. A sea change has been witnessed in the past few years. As per the stated notion, large firms should promotion their senior workers whereas others argue that, they paid high wages than ordinary workers.

To embark on, their are major concerns why organisation's paid too much salary to wage earner. First and foremost several workers have ample experience regarding job and skills which is considered having had a efficacious effect on both the individual and organisation. For instance, if he or she has a good quality of leadership and sustainable responsible it would develop a deeper understanding will stand their performance or ability. Thus, owner should reward to their senior member for enhancing inspiration.

On the other hand, it is generally believed that some companies give less salary to ordinary workers. on a wider spectrum, alot of English to education which would reap the benefits of globalisation, For instance if person do not have a capable of responsibility for effective work so executive do not paid too much salary. Hence, it is not a contributing factor.

To recapitulate, each work is unique with its on way of life and on perspective of the world which would enhance knowledge, I strongly believe that organisations should paid incentives to responsible employers. ",No,No,No,No,Yes,No,5.5
Children are getting 10% weight from past year.Give your causes and effects?,"It is often argued that in western society, the rate of overweight child has been increased around 20% in terms of 10 years. There are many causes and effects which would be discuss in following fragment.

The main causes and effects for overweight children is due to their food habitat and lack of physical exercise. Many children at present days like to eat junk food outside which is bad to our health. Due to this type of food intake their weight get increased rapidly in small age. Another problem is Physical exercise. children have latest technology like videogames, computer, Television which makes them lazy and make habits of involving into it hours to hours. Due to this activity many children are getting lazy and effecting their health and habitat.

To overcome with this problem, there are many solution to it. But some solution are Physical exercise and participating with friends. For induce, Instead of playing videogames inside the house. If children play outside with their friends then it help them to improve their habitat. Where as another factor for improving their health is sports, if children play sports which they find more interesting it will help them to be active and fit. Healthy food play vital role to children. Parents should prevent to children's not to eat junk food which is easily available in market place. They should provide nutrient food which makes them healthy.

Overall we can conclude that due to junk food and lack of physical activities our today generation is being lazy and inactive due to which it is effecting to their health and life. To overcome this effects, healthy food and sports helps them to be active and wealthy. If this activity is done to children then we can today generation children more beneficial in future. ",No,No,Yes,No,No,No,5
"Scientists predict in the near future cars will be driven by computers, not people. Why? Do you think it is a positive or negative development?","In the upcoming years, cars and other vehicles are projected to be driven automatically by computers. From my perspective, this phenomenon brings more advantages than disadvantages.

First, there are several driving forces behind this forecast. Steadily increasing budget from the government and giant corporations has brought about groundbreaking advances in robotics technology. The last few decades have witnessed robots gradually takes over manufacturing jobs previously done by human. Soon enough, automation will become a ubiquitous presence in our daily life, handling a variety of tasks including driving. In addition, given that traffic accidents are on the rise, especially in densely populated cities, self-driving cars could be the answer to reduce fatalities. Simply by taking human emotions and errors out of the equation, autopilot mode could indeed save millions of lives from car crash incidence.

Having said that, the benefits of autonomous cars certainly outweigh the drawbacks. Operated with a high degree of precision, self-driving vehicles can greatly reduce average commuter times in metropolitan areas, offering many spin-off advantages from well-being to boosting the economy. Besides, with driverless cars able to access up-to-the-minute data to help monitor traffic, as well as digital maps and other tools, they could determine the fastest, most efficient route possible. All of this will result in less congestion, less time-consuming and fuel waste.

In short, growing level of automation in this modern era is inevitable. More specifically, the emergence of self-driving technology is around the corner and despite initial concerns, this should be perceived as a positive trend.",No,No,No,No,Yes,No,5.5
The animal species are becoming extinct due to human activities on land and in sea. What are the reasons and solutions?,"It’s frightening that myriads of terrestrial and marine animals are on the verge of extinction due to human beings. My essay will shed light on the causes and measures to this issue.

To begin with, the constant tampering of nature by human has led to drastic changes in the natural world resulting in animals and plants finding it more difficult and difficult to survive. Nearly every kind of habitat or ecosystem - be it land, air or water - has been affected by the uncontrollable destruction of habitats by human. The impact of humans taking land for buildings, farming and timber has rendered species extinct at speeds unprecedented in Earth’s history. Besides, humans, due to their industrial, agricultural, or normal day-to-day activities, release an inordinate amount of toxic waste that is eventually dumped into the air, water or landfills. Tragedies like oil spills have been known to destroy and threaten many aquatic life forms.

Having said that, rapid, greatly intensified efforts to address the problem, slowing the extinctions currently underway. First, each government should levy exorbitant fines on devastating behaviors such as littering, illegal dumping or other environmental offences. The implementation of stringent laws, accompanied by extensive media coverage of the issue would raise environmental awareness among all sections of the society. Second, international organizations such as the United Nations should coordinate activities among member countries as well as encourage participation by the private sectorto promote sustainable use of the world’s natural resources. Specifically, the presence of such inter-governmental organizations plays a major role in initiating negotiations on reducing industrial pollution level or other toxic waste.

In short, the blame for the most recent mass extinction is not natural calamities - it’s human. Therefore, several solutions need to be done to tackle this worrying trend and save endangered species from the brink of extinction. ",No,No,Yes,No,Yes,No,6.5
"some people think all lawbreakers should be put into prison, while others believe that there are better alternatives. Discuss both views and give your own opinion.","We have witnessed many crimes in modern society. It is argued that all of the lawbreakers should be sent to jail, while others think that there are better alternative choices for lawbreakers to amend themselves. In my opinion, these statements are reasonable.

It is certainly true that lawbreakers should be taken into the prison for some reasons. One of the reasons is that this policy can to protect the inhabitants of cities. Lawbreakers usually commit crimes that will bring harms to the others such as stealing and robbing. By sending crime offenders to prisons, it can ensure that the society safety. As a result, citizens subsequently would feel that the society is peaceful and secured. Another reason is that this action reduce the crime rate. By strictly imposing punishment to criminals, it will decrease the level of crime rate because it has deterrent effects. Consequently, people would give up the thought of committing crimes.

However, there are opposing voices saying that there are better ways to solve this problem. To begin with, the government should offer jobs to criminals. Re-offenders, in most cases, are struggling with extremely limited income in their lives. Given secured jobs and reasonable payments, they naturally can learn some practical skills such as computer skills. Therefore, they will not risk their liberty because they live like ordinary residents with sufficient income. Apart from this, the government should provide free education to them. Due to leak of educating in the past, perpetrators were unable to judge what was right and wrong things to do. Being significantly educating, they will become good members and will not return to crime.",No,No,Yes,No,Yes,No,5
"Multicultural societies, in which there is a mixture of different ethnic peoples, bring more benefits than drawbacks to a country. To what extent do you agree or disagree? Give reasons for your answer and include any relevant examples from your own experience or knowledge","Thanks to more widely open policies in economy and immigration of many countries, the 21st century has witnessed the surprisingly increasing formation of multicultural societies where a varying number of ethnic people stay together. Although it has both positive and negative effects to a country, it seems to me that we are more likely to obtain more benefits than disadvantages from this kind of society.

The more diverse the residents of a country are, the more cultural values they can share to enhance their awareness and knowledge of culture and tradition. People will get more directly engaged in understanding unique customs or rituals, life and work attitudes from their foreign neighbours, colleagues and friends. As a consequence, they enable to adapt the cultural diversity in order to develop their interpersonal skills and live closer to other cultures without having to live in person in another country.

Additionally, once people can know more about each other through everyday interactions at work or schools, the severe conflicts or even wars will be remarkably alleviated. It is undeniable that there might have some drawbacks that multicultural communities bring to a country. Racial disparity accelerated, the wealth-poverty gap deteriorated, different culture tensions are specific cases for what are the so-called drawbacks, but the inhabitants can overcome these when the government implement friendly-ethnic peoples’ policies, as well as the dwellers, have positive thoughts and behaviours to live compatibly with others.

Stimulating multiculturalism in a society will offer numerous advantages to a country rather than undesirable effects. Therefore, each individual should savour every rewarding moment of living in their multicultural community and proudly spread their unique traditions to international friends so as to increase the diversity. ",Yes,No,Yes,No,No,No,5.5
Some people say that the only reason for learning reason for learning a foreign language is in order to travel to or work in a foreign country. Others say that these are not the only reasons why someone should learn a foreign language. Discuss both these views and give your own opinion.,"There are a variety of reasons why people should learn a foreign language. Some people say that the only reason is to live or work overseas. On the other hand, others believe that there are many more reasons. In my opinion, travel and work abroad should not the only motives.

Undoubtedly, traveling and working overseas are the most common reasons for learning a new language. When people decide to work and settle away from their countries, there are many struggles, and one of them is cultural barriers. However, knowing the native language can help newcomers overcome the problems easier. Besides that, partially or fully understand the local language can make travelers enjoy their trips more. On the other hand, , because there are more and more unemployed workers, employers also have higher expectations, and knowing (that) another language would be a great advantage. In short, knowing another language is necessary for jobs and travel abroad.

On the other hand, , there are other benefits of knowing a foreign. Some studies show that the brains of bilinguals think and work differently from normal ones. Bilinguals can take in information, and they process it more complex and diverse. As a result, knowing a new language broaden our mind. We can think from various perspectives, and we will know more about the world around us.

In conclusion, in my opinion, knowing a foreign language can help us in jobs and travel. However, besides that, there are many benefits and reasons why we should learn a new language.",No,No,Yes,No,Yes,No,5
Newspapers and books are outdated. Why do some people believe this? What is your opinion?,"The twenty-first century illustrates an increasing number of people are relying on new forms of technology. A possible consequence of this is that traditional media such as books and newspapers are not common, and these documents are considered to be outdated. Personally, I disagree with this point of view, books and newspapers should be a basic way of saving knowledge and traditional culture.

The principal reason that some people give this view is discovering information in the global from the internet or multimedia such as television, podcast channel is much quicker and easier. For instance, if people use Google or another search engine, they can instantly get the latest news. The fact that technology gives more convenience in browsing information, but most of these are the fast-moving news, and when an individual wants to research or directly interact with the words, in reality, the traditional platform such as research reports, academic notebooks are more essential than the high-technical platform.

Furthermore, reading print books and newspapers can be better for the brain and health. Because readers of print books absorb and remember more of the plot than readers of e-books or digital magazines. For example, many jobs require people to stare at a computer screen all day, and it will give their eyes a break. Electronic books can cause screen fatigue, which may lead to blurred vision, dryness, and irritation, with print books, those problems do not occur any more. In addition, researchers believe that if readers have a books or personal library at home, they will be more likely to link to higher academic achievement.

E-books and internet platforms would be more convenient than traditional books. But the important thing is reading on paper books can enrich the entire experience, and readers will not be got sidetracked more easily than digital readers. Thus, traditional reading will not be outdated. ",Yes,No,No,No,No,No,5.5
Depression and anxiety disorders among Adults,"Nowadays, the most of Adults constantly face with the stress, problems in their business life, private life. All of these worsen them morally and cause depression, anxiety, social phobia which completely frustrate their mental health and the foremost their life.

On one hand, from my point of view, Adults are charge of so many responsibilities such as about their children’s future, job, family affairs, meeting their child’s needs, etc. and each of them causes stress on middle-aged people. That is way disorders as depression and anxiety usually occur on Adults. In my opinion, it is mainly bound up business life that they spare the most of their day in there. Actually this depends on the type of work. Some jobs may be so stressful, for instance, profession of a doctor. Saving someone’s life requires too much responsibility and self-sacrifice and from my stand point, such as professions results anxiety. However place of doctors is undeniable in our life.

On another hand, one of liability of Adults is about their children. They have to meet their needs as affording their education, buying them necessary things and sometimes they think more and more deeply about it. They consider that what if I am laid off, cannot meet my child’s significant needs. Hence, All of these thoughts make them depressed and create uneasiness on them.

To sum up, What they need is to chill out, think less and occasionally walking away from responsibilities. Unless they do it, they will deal with diverse illnesses, due to it is evident fact that depression and anxiety create harmful diseases like cancer.",No,No,No,No,No,No,5.5
"Write about the following topic: In the past, most people lived in small villages where everyone knew everyone else. Nowadays, most people live in large cities where they only know a few people in their area. What do you think were the advantages and disadvantages of living in a small community? Give reasons for your answer and include any relevant examples from your own knowledge and experience.","In the past, we lived in small communities, small villages and nowadays we are living in a big communities, large cities. But let's focus on the past, what was the advantages and disadvantages of a living in a small communities.

I think advantages of living in a small communities was people didn't feel awkward with each other because they were close. If any of family in the village had a emergency problem, they can called help from other quickly because there house were against to each other,

About the disadvantages of living in a small villages was they got bored of their neighboor and people surrounded them because they were too similar. They didn't get a choice to communicate with new people outside their area so their social communication skill was limited. They didn't have many new friends.

In my opinion, living in a small villages let you to live close to your family and friends. But, you can just live like that, I love to experience new things and communicate with different people. Living in a big city is appropriate for me.",No,No,No,No,No,No,5.5
